rera_certificate_no,builder_name,complaint_count,cases_count,possession_delay_months
P51700000736,VERTEX NEWTON PROJECTS PRIVATE LIMITED,0,1,20
P51700007190,Bhalchandra  Wadnerkar,0,0,0
P51700003913,Shanklesha Constructions,1,0,63
P51700005511,MORYA INFRACONSTRUCT PRIVATE LIMITED,17,0,24
P51700007962,G K MALI & C K MALI,1,1,12
P51700003172,KONKAN HOUSING AND AREA DEVELOPMENT BOARD,0,1,84
P51700003217,J J TECHNOCRATS,0,0,0
P51700002011,Tulsi Buildcon,0,0,45
P51700006570,Mandakini Realtors,3,2,56
P51700003251,AAMANTRAN DEVELOPERS,0,0,11
P51700000815,KEDAR BHIKAJI BAPAT,0,0,5
P51700010278,PRIME HOUSING,3,0,48
P51700001024,AJAY MADHUKAR THANEKAR,0,0,24
P51700003860,Versatile Developers,19,0,60
P51700000969,Ms ASHAR REALTORS,0,0,12
P51700009855,BUILDCON ENGINEERS,0,0,0
P51700006777,HAZEL ENTERPRISE,0,0,12
P51700007802,HERAMB CONSTRUCTION,0,0,7
P51700001383,Runwal Construction Private Limited,5,0,79
P51700002262,BALAJI REGENCY PROPERTIES,2,0,2
P51700006536,RAJ MANOHAR WADHWA,0,0,0
P51700005351,AMAR CONSTRUCTION,0,0,0
P51700002550,MOHAN LIFESPACES LLP,0,0,24
P51700004665,GAJANAN KOTKAR & NANDINI KOTKAR,0,0,12
P51700007299,SHRADDHA SAI SHELTERS,0,1,20
P51700007745,SIDDHI REAL ESTATE DEVELOPERS,4,5,47
P51700002842,SAI PROVISO DEVELOPERS,0,0,24
P51700009448,SHREE ASHAPURA COMBINES,0,1,18
P51900009084,VINAYAK DEVELOPERS,0,0,12
P51700006307,SIDDHI REAL ESTATE DEVELOPERS,0,6,47
P51700000973,Vinay  Agrawal,1,0,156
P51700001574,MAITHILI KALPVRUKSH PRIVATE LIMITED,0,2,24
P51700006876,JEWEL BUILDERS,0,0,36
P51700001221,Fortune Infracreators Private Limited,0,0,12
P51700000953,SHREE SIDDHIVINAYAK ENTERPRISES,1,0,10
P51700004103,SHREE KRISHNA ENTERPRISES,0,2,15
P51700002741,Fortune Infracreators Private Limited,9,9,12
P51700001204,Shreyas Enterprises,0,0,6
P51700000808,SAI SHRADHA DEVELOPERS,0,0,12
P51700002824,REGENCY NIRMAN LTD,0,0,0
P51700007066,REGENCY NIRMAN LTD,0,0,0
P51700008243,abhijit bhaskar kelkar,0,0,31
P51700007704,REGENCY NIRMAN LTD,1,0,0
P51700004031,Kalpataru Homes Private Limited,0,4,12
P52000001364,SILVER GLADES PROJECTS PRIVATE LIMITED,0,0,3
P51700001476,ASHIRWAD DEVELOPERS,1,0,3
P51700004698,MANAS ENTERPRISES,0,0,0
P51700003734,MUKTA DEVELOPERS,0,0,3
P51700009315,VASTU BUILDERS,0,0,0
P51700001561,SARASWATI BUILDCON,0,0,17
P51700004471,MEGA DEVELOPERS,0,2,0
P51700001143,ASHWAMEDH BUILDERS AND DEVELOPERS,1,0,12
P51700004551,SAI SAMRUDDHI CONSTRUCTION CO,0,0,0
P51700003079,TRIVENI LIFESTYLE DEVELOPERS LLP,0,0,18
P51700004591,T Bhimjyani Realty Pvt.Ltd.,74,5,42
P51700005630,ANIL HARDASMAL THARWANI,0,2,4
P51700004565,ANIL HARDASMAL THARWANI,0,2,10
P51700005135,ANIL HARDASMAL THARWANI,0,2,33
P51700001499,Ms AMBER ESTATE,0,0,12
P51700006096,EMPIRE INDUSTRIES LIMITED,7,0,12
P51700010446,VANTAGE LAND DEVELOPERS,0,0,12
P51700001095,Dhruva Woollen Mills Pvt Ltd,2,0,72
P51700001611,ROMA BUILDERS PRIVATE LIMITED,0,0,24
P51700001641,Kohinoor Castles,0,0,18
P51700008016,PARSHVANATH ENTERPRISES,0,0,12
P51700007006,FUTURE HOMES DEVELOPERS,0,0,9
P51700005579,NOBLE CONSTRUCTION COMPANY,0,0,12
P51700002666,Shree Samarth Developers,0,0,12
P51700001387,NAYAN DILIP DALAL,0,0,12
P51700005875,Sanjeev Vasant Divekar,5,2,84
